,tweet,language
151,union home minister minister cooperation shri ji ht leadership summit,en
152,via namo app,hi
153,best wishes member parliament general secretary smt ji birthday may mahaprabhu jagannath bless long healthy life,en
154,,hi
155,,hi
156,upa attack mamata zero seats congress,en
157,today watch union home minister minister cooperation shri ji ht leadership summit time venue taj palace new delhi,en
158,rt,hi
159,rt pouting face,hi
160,,hi
161,rt,hi
162,rt union home minister minister cooperation shri address ht leadership summit december,en
163,rt,hi
164,,hi
165,,hi
166,via namo app,hi
167,msp via namo app,hi
168,confession,en
169,,hi
170,,hi
171,terror violence j amp k post article read,en
172,rt pm modi brought sense assurance country bl santhosh,en
173,country nation,und
174,gift city merely premise represents india represents india democratic values demand demography amp diversity represents india openness ideas innovation amp investment gift city gateway global fintech world hon ble pm ji,en
175,history currency shows tremendous evolution humans evolved form transactions barter system metals coins notes cheques cards today reached hon ble pm shri ji,en
176,pm shri ji inaugurates infinity forum thought leadership forum fintech,en
177,,hi
178,,hi
179,,hi
180,,hi
181,,hi
182,news,hi
183,rt,hi
184,rt news,hi
185,via namo app,hi
186,,hi
187,,hi
188,,hi
189,,hi
190,,hi
191,,hi
192,,hi
193,pm,en
194,view enormity crisis bjp workers asked serve public entire party machinery galvanized diverted towards relief measures established helplines help people distress shri,en
195,meet common global goals determine peace amp prosperity shared region amp world system covid india russia sustained cooperation assisting supply machines tools shri,en
196,response principle challenges moment pandemic climate change threat posed radicalism terrorism sanctuaries shape trajectory remainder st century shri,en
197,modern st century bilateral relationship traced back president putin pm atal bihari vajpayee ji inaugurated indo russia strategic partnership shri,en
198,growing association bjp world largest political party almost primary members united russia party adds lustre friendship draws inspiration mutual respect president vladimir putin pm modi share shri,en
199,india russia steadfast long standing friends partnership one stable period wwii shri,en
200,bjp national president shri addresses seminar global challenges st century interparty dimension organised united russia party,en
201,,hi
202,indian economy growth comes primarily riding back black small square increased vaccination black small square uptick agriculture check mark persistent reforms modi government agricultural sector reflections inscribed statistics upwardly growth top arrow,en
203,resurrection indian growth story surpasses pre covid level,en
204,q gdp growth bad news sadistic players grinning internally contraction post covid,en
205,,hi
206,msp golden temple chair rule book,hi
207,unruly behaviour suspend,und
208,pm,en
209,democracy,hi
